Time,Height
9.6875,3.225
9.69791667,3.141
9.70833333,3.07
9.71875,2.999
9.72916667,2.952
9.73958333,2.898
9.75,2.855
9.76041667,2.803
9.77083333,2.756
9.78125,2.713
9.79166667,2.66
9.80208333,2.612
9.8125,2.575
9.82291667,2.534
9.83333333,2.511
9.84375,2.479
9.85416667,2.453
9.86458333,2.42
9.875,2.4
9.88541667,2.366
9.89583333,2.365
9.90625,2.35
9.91666667,2.342
9.92708333,2.322
9.9375,2.324
9.94791667,2.319
9.95833333,2.336
9.96875,2.322
9.97916667,2.339
9.98958333,2.331
10,2.328
10.01041667,2.336
10.02083333,2.355
10.03125,2.386
10.04166667,2.417
10.05208333,2.43
10.0625,2.449
10.07291667,2.445
10.08333333,2.45
10.09375,2.455
10.10416667,2.447
10.11458333,2.46
10.125,2.442
10.13541667,2.46
10.14583333,2.443
10.15625,2.422
10.16666667,2.407
10.17708333,2.403
10.1875,2.378
10.19791667,2.364
10.20833333,2.328
10.21875,2.315
10.22916667,2.284
10.23958333,2.258
10.25,2.234
10.26041667,2.22
10.27083333,2.207
10.28125,2.191
10.29166667,2.169
10.30208333,2.155
10.3125,2.135
10.32291667,2.124
10.33333333,2.107
10.34375,2.091
10.35416667,2.081
10.36458333,2.069
10.375,2.052
10.38541667,2.039
10.39583333,2.046
10.40625,2.018
10.41666667,2.009
10.42708333,1.993
10.4375,1.987
10.44791667,1.977
10.45833333,1.963
10.46875,1.953
10.47916667,1.94
10.48958333,1.943
10.5,1.927
10.51041667,1.911
10.52083333,1.899
10.53125,1.893
10.54166667,1.885
10.55208333,1.883
10.5625,1.863
10.57291667,1.857
10.58333333,1.844
10.59375,1.836
10.60416667,1.807
10.61458333,1.802
10.625,1.799
10.63541667,1.778
10.64583333,1.778
10.65625,1.767
10.66666667,1.745
10.67708333,1.74
10.6875,1.724
10.69791667,1.721
10.70833333,1.716
10.71875,1.712
10.72916667,1.697
10.73958333,1.702
10.75,1.687
10.76041667,1.688
10.77083333,1.675
10.78125,1.669
10.79166667,1.653
10.80208333,1.652
10.8125,1.647
10.82291667,1.635
10.83333333,1.625
10.84375,1.614
10.85416667,1.613
10.86458333,1.61
10.875,1.605
10.88541667,1.597
10.89583333,1.59
10.90625,1.578
10.91666667,1.58
10.92708333,1.583
10.9375,1.559
10.94791667,1.563
10.95833333,1.555
10.96875,1.551
10.97916667,1.551
10.98958333,1.559
11,1.559
11.01041667,1.542
11.02083333,1.538
11.03125,1.537
11.04166667,1.526
11.05208333,1.524
11.0625,1.522
11.07291667,1.518
11.08333333,1.513
11.09375,1.512
11.10416667,1.509
11.11458333,1.503
11.125,1.503
11.13541667,1.486
11.14583333,1.493
11.15625,1.492
11.16666667,1.491
11.17708333,1.483
11.1875,1.486
11.19791667,1.481
11.20833333,1.48
11.21875,1.49
11.22916667,1.485
11.23958333,1.481
11.25,1.474
11.26041667,1.474
11.27083333,1.468
11.28125,1.466
11.29166667,1.461
11.30208333,1.459
11.3125,1.461
11.32291667,1.461
11.33333333,1.442
11.34375,1.442
11.35416667,1.439
11.36458333,1.44
11.375,1.429
11.38541667,1.429
11.39583333,1.429
11.40625,1.43
11.41666667,1.424
11.42708333,1.419
11.4375,1.418
11.44791667,1.418
11.45833333,1.427
11.46875,1.42
11.47916667,1.42
11.48958333,1.424
11.5,1.423
11.51041667,1.443
11.52083333,1.456
11.53125,1.467
11.54166667,1.453
11.55208333,1.456
11.5625,1.452
11.57291667,1.452
11.58333333,1.45
11.59375,1.444
11.60416667,1.448
11.61458333,1.445
11.625,1.449
11.63541667,1.448
11.64583333,1.443
11.65625,1.433
11.66666667,1.44
11.67708333,1.44
11.6875,1.424
11.69791667,1.428
11.70833333,1.426
11.71875,1.41
11.72916667,1.413
11.73958333,1.406
11.75,1.402
11.76041667,1.401
11.77083333,1.4
11.78125,1.394
11.79166667,1.391
11.80208333,1.388
11.8125,1.38
11.82291667,1.371
11.83333333,1.367
11.84375,1.364
11.85416667,1.356
11.86458333,1.355
11.875,1.355
11.88541667,1.347
11.89583333,1.345
11.90625,1.34
11.91666667,1.335
11.92708333,1.329
11.9375,1.322
11.94791667,1.323
11.95833333,1.32
11.96875,1.319
11.97916667,1.308
11.98958333,1.314
